@relation ZOOKEEPER_dataset-weka.filters.unsupervised.attribute.Remove-R2

@attribute Version numeric
@attribute LOC numeric
@attribute LOC_touched numeric
@attribute NR numeric
@attribute NFix numeric
@attribute LOC_added numeric
@attribute MAX_LOC_added numeric
@attribute AVG_LOC_added numeric
@attribute Churn numeric
@attribute MAX_Churn numeric
@attribute AVG_Churn numeric
@attribute ChgSetSize numeric
@attribute MAX_ChgSet numeric
@attribute AVG_ChgSize numeric
@attribute Buggy {Yes,No}

@data
2,223,533,9,0,156,125,17,152,125,16,981,216,109,No
2,116,15,4,0,7,5,1,5,5,1,304,163,76,No
2,82,39,5,0,5,3,1,5,3,1,632,270,126,No
2,55,12,3,0,2,2,0,2,2,0,343,216,114,No
2,70,32,5,0,24,19,4,24,19,4,767,286,153,No
2,198,39,7,0,12,4,1,11,4,1,895,270,127,No
2,38,9,3,0,2,2,0,2,2,0,343,216,114,No
2,79,16,5,0,3,2,0,3,2,0,696,280,139,Yes
2,68,42,5,0,2,2,0,2,2,0,731,369,146,No
2,141,13,4,0,5,3,1,5,3,1,618,275,154,No
2,59,10,3,0,2,2,0,2,2,0,343,216,114,No
2,220,25,5,0,4,2,0,4,2,0,658,270,131,No
2,145,494,9,0,37,17,4,19,17,2,962,263,106,No
2,120,12,4,0,2,2,0,2,2,0,613,270,153,No
2,130,0,1,0,0,0,0,0,0,0,0,0,0,No
2,583,0,1,0,0,0,0,0,0,0,0,0,0,No
2,182,0,1,0,0,0,0,0,0,0,0,0,0,No
2,34,0,1,0,0,0,0,0,0,0,0,0,0,No
2,324,0,1,0,0,0,0,0,0,0,0,0,0,Yes
2,41,49,4,0,2,2,0,2,2,0,362,216,90,No
2,106,0,1,0,0,0,0,0,0,0,0,0,0,No
2,114,23,5,0,5,3,1,5,3,1,804,321,160,No
2,611,790,12,0,192,68,16,96,46,8,1023,216,85,No
2,87,20,3,0,14,8,4,12,6,4,297,163,99,Yes
2,93,103,5,0,2,2,0,2,2,0,625,263,125,No
2,313,347,5,0,56,54,11,50,48,10,585,223,117,No
2,121,59,6,0,12,10,2,11,9,1,667,216,111,Yes
2,79,11,3,0,2,2,0,2,2,0,343,216,114,No
2,82,10,2,0,8,8,4,8,8,4,31,31,15,No
2,108,74,6,0,47,45,7,45,45,7,708,280,118,No
2,113,19,6,0,4,2,0,-2,2,0,829,237,138,No
2,1034,771,19,2,241,85,12,-61,60,-3,1060,216,55,Yes
2,233,29,6,0,15,9,2,5,6,0,313,128,52,No
3,138,0,1,0,0,0,0,0,0,0,0,0,0,No
3,270,0,1,0,0,0,0,0,0,0,0,0,0,Yes
3,344,0,1,0,0,0,0,0,0,0,0,0,0,No
3,155,0,1,0,0,0,0,0,0,0,0,0,0,No
3,38,0,1,0,0,0,0,0,0,0,0,0,0,No
3,131,0,1,0,0,0,0,0,0,0,0,0,0,No
3,251,0,1,0,0,0,0,0,0,0,0,0,0,No
3,702,0,1,0,0,0,0,0,0,0,0,0,0,No
3,113,0,1,0,0,0,0,0,0,0,0,0,0,No
3,30,0,1,0,0,0,0,0,0,0,0,0,0,No
3,64,0,1,0,0,0,0,0,0,0,0,0,0,No
3,350,0,1,0,0,0,0,0,0,0,0,0,0,No
3,214,0,1,0,0,0,0,0,0,0,0,0,0,No
3,66,0,1,0,0,0,0,0,0,0,0,0,0,No
3,105,0,1,0,0,0,0,0,0,0,0,0,0,No
3,266,0,1,0,0,0,0,0,0,0,0,0,0,No
3,497,0,1,0,0,0,0,0,0,0,0,0,0,No
3,39,0,1,0,0,0,0,0,0,0,0,0,0,No
3,343,0,1,0,0,0,0,0,0,0,0,0,0,No
3,71,0,1,0,0,0,0,0,0,0,0,0,0,No
3,180,0,1,0,0,0,0,0,0,0,0,0,0,No
3,533,0,1,0,0,0,0,0,0,0,0,0,0,No
3,36,0,1,0,0,0,0,0,0,0,0,0,0,No
3,134,0,1,0,0,0,0,0,0,0,0,0,0,No
3,33,0,1,0,0,0,0,0,0,0,0,0,0,No
3,344,0,1,0,0,0,0,0,0,0,0,0,0,No
3,165,0,1,0,0,0,0,0,0,0,0,0,0,No
3,56,0,1,0,0,0,0,0,0,0,0,0,0,No
3,127,0,1,0,0,0,0,0,0,0,0,0,0,No
3,133,1,3,0,0,0,0,0,0,0,391,216,130,No
3,150,1,3,0,0,0,0,0,0,0,391,216,130,No
3,89,8,3,0,4,4,1,4,4,1,530,314,176,No
3,84,8,4,0,4,4,1,4,4,1,556,216,139,No
