Dataset,#Training release,%traning,%Defective in training,%Defective in testing,Classifier,Balancing,Feature Selection,Sensitivity,TP,FP,TN,FN,Precision,Recall,AUC,Kappa
ZOOKEEPER,1,40.73107049608355,49.77973568281938,12.82051282051282,NAIVEBAYES,SMOTE,BESTFIRST,NOSENSITIVE,12.0,18.0,118.0,8.0,0.4,0.6,0.8711397058823529,0.3854545454545457,
ZOOKEEPER,1,40.73107049608355,49.77973568281938,12.82051282051282,NAIVEBAYES,SMOTE,BESTFIRST,THRESHOLD,12.0,19.0,117.0,8.0,0.3870967741935484,0.6,0.7301470588235294,0.3728409767718878,
ZOOKEEPER,1,40.73107049608355,49.77973568281938,12.82051282051282,NAIVEBAYES,SMOTE,BESTFIRST,LEARNING,20.0,41.0,95.0,0.0,0.32786885245901637,1.0,0.8602941176470589,0.3726951745782662,
ZOOKEEPER,1,50.0,26.923076923076923,12.82051282051282,IBK,NOBALANCING,NOSELECTION,NOSENSITIVE,20.0,22.0,114.0,0.0,0.47619047619047616,1.0,0.9191176470588235,0.5705705705705704,
ZOOKEEPER,1,50.0,26.923076923076923,12.82051282051282,IBK,NOBALANCING,NOSELECTION,THRESHOLD,20.0,22.0,114.0,0.0,0.47619047619047616,1.0,0.9191176470588235,0.5705705705705704,
ZOOKEEPER,1,50.0,26.923076923076923,12.82051282051282,IBK,NOBALANCING,NOSELECTION,LEARNING,20.0,22.0,114.0,0.0,0.47619047619047616,1.0,0.9191176470588235,0.5705705705705704,
ZOOKEEPER,1,36.96682464454976,50.0,12.82051282051282,IBK,OVERSAMPLING,NOSELECTION,NOSENSITIVE,20.0,22.0,114.0,0.0,0.47619047619047616,1.0,0.9222426470588235,0.5705705705705704,
ZOOKEEPER,1,36.96682464454976,50.0,12.82051282051282,IBK,OVERSAMPLING,NOSELECTION,THRESHOLD,20.0,22.0,114.0,0.0,0.47619047619047616,1.0,0.9191176470588235,0.5705705705705704,
ZOOKEEPER,1,36.96682464454976,50.0,12.82051282051282,IBK,OVERSAMPLING,NOSELECTION,LEARNING,20.0,42.0,94.0,0.0,0.3225806451612903,1.0,0.9009191176470588,0.364623739332816,
ZOOKEEPER,1,65.0,50.0,12.82051282051282,IBK,UNDERSAMPLING,NOSELECTION,NOSENSITIVE,20.0,29.0,107.0,0.0,0.40816326530612246,1.0,0.8933823529411765,0.4861426624261699,
ZOOKEEPER,1,65.0,50.0,12.82051282051282,IBK,UNDERSAMPLING,NOSELECTION,THRESHOLD,20.0,29.0,107.0,0.0,0.40816326530612246,1.0,0.8933823529411765,0.4861426624261699,
ZOOKEEPER,1,65.0,50.0,12.82051282051282,IBK,UNDERSAMPLING,NOSELECTION,LEARNING,18.0,37.0,99.0,2.0,0.32727272727272727,0.9,0.8237132352941177,0.35957894736842105,
ZOOKEEPER,1,40.73107049608355,49.77973568281938,12.82051282051282,IBK,SMOTE,NOSELECTION,NOSENSITIVE,20.0,22.0,114.0,0.0,0.47619047619047616,1.0,0.9191176470588235,0.5705705705705704,
ZOOKEEPER,1,40.73107049608355,49.77973568281938,12.82051282051282,IBK,SMOTE,NOSELECTION,THRESHOLD,20.0,22.0,114.0,0.0,0.47619047619047616,1.0,0.9191176470588235,0.5705705705705704,
ZOOKEEPER,1,40.73107049608355,49.77973568281938,12.82051282051282,IBK,SMOTE,NOSELECTION,LEARNING,19.0,41.0,95.0,1.0,0.31666666666666665,0.95,0.81875,0.3499999999999999,
ZOOKEEPER,1,50.0,26.923076923076923,12.82051282051282,IBK,NOBALANCING,BESTFIRST,NOSENSITIVE,19.0,21.0,115.0,1.0,0.475,0.95,0.9020220588235294,0.5577319587628865,
ZOOKEEPER,1,50.0,26.923076923076923,12.82051282051282,IBK,NOBALANCING,BESTFIRST,THRESHOLD,19.0,21.0,115.0,1.0,0.475,0.95,0.8977941176470589,0.5577319587628865,
ZOOKEEPER,1,50.0,26.923076923076923,12.82051282051282,IBK,NOBALANCING,BESTFIRST,LEARNING,19.0,21.0,115.0,1.0,0.475,0.95,0.9020220588235294,0.5577319587628865,
ZOOKEEPER,1,36.96682464454976,50.0,12.82051282051282,IBK,OVERSAMPLING,BESTFIRST,NOSENSITIVE,19.0,24.0,112.0,1.0,0.4418604651162791,0.95,0.9108455882352942,0.5189935865811546,
ZOOKEEPER,1,36.96682464454976,50.0,12.82051282051282,IBK,OVERSAMPLING,BESTFIRST,THRESHOLD,19.0,24.0,112.0,1.0,0.4418604651162791,0.95,0.8867647058823529,0.5189935865811546,
ZOOKEEPER,1,36.96682464454976,50.0,12.82051282051282,IBK,OVERSAMPLING,BESTFIRST,LEARNING,20.0,33.0,103.0,0.0,0.37735849056603776,1.0,0.8931985294117647,0.4445403539059128,
ZOOKEEPER,1,65.0,50.0,12.82051282051282,IBK,UNDERSAMPLING,BESTFIRST,NOSENSITIVE,20.0,29.0,107.0,0.0,0.40816326530612246,1.0,0.8933823529411765,0.4861426624261699,
ZOOKEEPER,1,65.0,50.0,12.82051282051282,IBK,UNDERSAMPLING,BESTFIRST,THRESHOLD,20.0,29.0,107.0,0.0,0.40816326530612246,1.0,0.8933823529411765,0.4861426624261699,
ZOOKEEPER,1,65.0,50.0,12.82051282051282,IBK,UNDERSAMPLING,BESTFIRST,LEARNING,17.0,37.0,99.0,3.0,0.3148148148148148,0.85,0.790625,0.3350383631713555,
ZOOKEEPER,1,40.73107049608355,49.77973568281938,12.82051282051282,IBK,SMOTE,BESTFIRST,NOSENSITIVE,20.0,22.0,114.0,0.0,0.47619047619047616,1.0,0.9191176470588235,0.5705705705705704,
ZOOKEEPER,1,40.73107049608355,49.77973568281938,12.82051282051282,IBK,SMOTE,BESTFIRST,THRESHOLD,20.0,22.0,114.0,0.0,0.47619047619047616,1.0,0.9191176470588235,0.5705705705705704,
ZOOKEEPER,1,40.73107049608355,49.77973568281938,12.82051282051282,IBK,SMOTE,BESTFIRST,LEARNING,20.0,41.0,95.0,0.0,0.32786885245901637,1.0,0.8637867647058823,0.3726951745782662,
ZOOKEEPER,2,35.13513513513514,19.871794871794872,10.650887573964498,RANDOMFOREST,NOBALANCING,NOSELECTION,NOSENSITIVE,10.0,13.0,138.0,8.0,0.43478260869565216,0.5555555555555556,0.8883370125091979,0.41829208326503853,
ZOOKEEPER,2,35.13513513513514,19.871794871794872,10.650887573964498,RANDOMFOREST,NOBALANCING,NOSELECTION,THRESHOLD,16.0,51.0,100.0,2.0,0.23880597014925373,0.8888888888888888,0.775570272259014,0.25064837279344093,
ZOOKEEPER,2,35.13513513513514,19.871794871794872,10.650887573964498,RANDOMFOREST,NOBALANCING,NOSELECTION,LEARNING,14.0,35.0,116.0,4.0,0.2857142857142857,0.7777777777777778,0.8852097130242825,0.31049272936499644,
ZOOKEEPER,2,15.156950672645738,50.0,10.650887573964498,RANDOMFOREST,OVERSAMPLING,NOSELECTION,NOSENSITIVE,10.0,16.0,135.0,8.0,0.38461538461538464,0.5555555555555556,0.8609271523178808,0.3760000000000003,
ZOOKEEPER,2,15.156950672645738,50.0,10.650887573964498,RANDOMFOREST,OVERSAMPLING,NOSELECTION,THRESHOLD,16.0,48.0,103.0,2.0,0.25,0.8888888888888888,0.7855040470934511,0.268651549247014,
ZOOKEEPER,2,15.156950672645738,50.0,10.650887573964498,RANDOMFOREST,OVERSAMPLING,NOSELECTION,LEARNING,15.0,42.0,109.0,3.0,0.2631578947368421,0.8333333333333334,0.8394039735099338,0.28410053657158985,
ZOOKEEPER,2,57.67918088737202,50.0,10.650887573964498,RANDOMFOREST,UNDERSAMPLING,NOSELECTION,NOSENSITIVE,17.0,38.0,113.0,1.0,0.3090909090909091,0.9444444444444444,0.8830022075055187,0.3636188085352903,
ZOOKEEPER,2,57.67918088737202,50.0,10.650887573964498,RANDOMFOREST,UNDERSAMPLING,NOSELECTION,THRESHOLD,18.0,112.0,39.0,0.0,0.13846153846153847,1.0,0.6291390728476821,0.0690537084398977,
ZOOKEEPER,2,57.67918088737202,50.0,10.650887573964498,RANDOMFOREST,UNDERSAMPLING,NOSELECTION,LEARNING,17.0,95.0,56.0,1.0,0.15178571428571427,0.9444444444444444,0.8491537895511405,0.09555134351655704,
ZOOKEEPER,2,25.26158445440957,50.0,10.650887573964498,RANDOMFOREST,SMOTE,NOSELECTION,NOSENSITIVE,10.0,17.0,134.0,8.0,0.37037037037037035,0.5555555555555556,0.8881530537159676,0.3630333182571991,
ZOOKEEPER,2,25.26158445440957,50.0,10.650887573964498,RANDOMFOREST,SMOTE,NOSELECTION,THRESHOLD,16.0,53.0,98.0,2.0,0.2318840579710145,0.8888888888888888,0.7689477557027226,0.239299451673623,
ZOOKEEPER,2,25.26158445440957,50.0,10.650887573964498,RANDOMFOREST,SMOTE,NOSELECTION,LEARNING,16.0,47.0,104.0,2.0,0.25396825396825395,0.8888888888888888,0.8944076526857984,0.27493214254443565,
