@relation BOOKKEEPER_dataset-weka.filters.unsupervised.attribute.Remove-R2

@attribute Version numeric
@attribute LOC numeric
@attribute LOC_touched numeric
@attribute NR numeric
@attribute NFix numeric
@attribute LOC_added numeric
@attribute MAX_LOC_added numeric
@attribute AVG_LOC_added numeric
@attribute Churn numeric
@attribute MAX_Churn numeric
@attribute AVG_Churn numeric
@attribute ChgSetSize numeric
@attribute MAX_ChgSet numeric
@attribute AVG_ChgSize numeric
@attribute Buggy {Yes,No}

@data
1,65,1,2,0,0,0,0,0,0,0,271,271,135,No
1,125,3,2,0,0,0,0,0,0,0,271,271,135,No
1,161,8,4,0,1,1,0,1,1,0,453,271,113,Yes
1,37,5,2,0,0,0,0,0,0,0,271,271,135,Yes
1,59,3,2,0,1,1,0,1,1,0,316,316,158,No
1,63,0,1,0,0,0,0,0,0,0,0,0,0,No
1,131,13,4,0,1,1,0,1,1,0,453,271,113,No
1,75,3,2,0,1,1,0,1,1,0,316,316,158,No
1,84,4,3,0,1,1,0,1,1,0,421,271,140,No
1,75,0,1,0,0,0,0,0,0,0,0,0,0,No
1,49,2,2,0,0,0,0,0,0,0,320,320,160,No
1,61,1,2,0,0,0,0,0,0,0,271,271,135,No
1,71,6,3,0,0,0,0,0,0,0,433,271,144,No
1,184,22,4,1,3,3,0,3,3,0,453,271,113,Yes
1,54,0,1,0,0,0,0,0,0,0,0,0,0,No
1,453,22,4,3,2,1,0,2,1,0,496,196,124,Yes
1,40,0,1,0,0,0,0,0,0,0,0,0,0,No
1,79,4,2,0,0,0,0,0,0,0,271,271,135,No
1,65,1,2,0,0,0,0,0,0,0,271,271,135,Yes
1,32,1,2,0,0,0,0,0,0,0,271,271,135,No
1,58,4,2,0,0,0,0,0,0,0,271,271,135,No
1,105,7,2,0,0,0,0,0,0,0,271,271,135,Yes
1,33,0,1,0,0,0,0,0,0,0,0,0,0,Yes
1,228,65,3,0,13,12,4,13,12,4,421,271,140,No
1,198,21,4,1,10,9,2,10,9,2,497,271,124,Yes
1,76,6,2,0,0,0,0,0,0,0,271,271,135,Yes
1,29,0,1,0,0,0,0,0,0,0,0,0,0,No
1,53,2,2,0,0,0,0,0,0,0,271,271,135,Yes
1,430,109,3,1,32,31,10,32,31,10,421,271,140,Yes
1,105,30,2,0,0,0,0,0,0,0,271,271,135,No
1,36,0,1,0,0,0,0,0,0,0,0,0,0,Yes
1,99,1,2,0,0,0,0,0,0,0,271,271,135,No
1,80,16,3,0,1,1,0,1,1,0,421,271,140,No
2,216,50,3,0,38,32,12,38,32,12,170,110,56,No
2,272,24,2,0,11,11,5,11,11,5,146,146,73,No
2,452,150,5,0,67,52,13,42,35,8,305,135,61,Yes
2,138,166,4,0,68,67,17,36,36,9,485,211,121,No
2,358,582,8,0,279,260,34,196,190,24,919,255,114,Yes
2,811,2066,36,5,989,207,27,574,205,15,1162,196,32,Yes
2,52,2,2,0,0,0,0,-1,0,0,148,148,74,No
2,151,103,5,0,69,53,13,69,53,13,686,229,137,No
2,32,2,2,0,0,0,0,-2,0,-1,148,148,74,No
2,181,27,4,0,12,8,3,12,8,3,313,211,78,No
2,197,8,2,0,2,2,1,2,2,1,198,198,99,Yes
2,474,929,21,2,394,221,18,125,108,5,1045,171,49,Yes
2,41,0,1,0,0,0,0,0,0,0,0,0,0,No
2,256,260,9,0,175,75,19,174,75,19,749,199,83,Yes
2,386,253,5,0,230,216,46,230,216,46,325,130,65,Yes
2,510,205,9,3,157,125,17,142,124,15,376,78,41,Yes
2,33,0,1,0,0,0,0,0,0,0,0,0,0,No
2,67,8,2,0,0,0,0,0,0,0,63,63,31,No
2,188,30,4,2,6,5,1,6,5,1,160,111,40,Yes
2,578,44,4,2,29,22,7,27,22,6,186,111,46,Yes
2,159,4,3,1,1,1,0,1,1,0,163,152,54,Yes
2,47,835,15,1,132,89,8,97,87,6,841,211,56,Yes
2,28,53,2,0,0,0,0,0,0,0,110,110,55,No
2,789,165,7,1,111,37,15,91,34,13,262,104,37,Yes
2,61,0,1,0,0,0,0,0,0,0,0,0,0,No
2,63,234,10,0,54,30,5,51,30,5,795,211,79,Yes
2,89,30,2,0,0,0,0,-2,0,-1,63,63,31,Yes
2,53,3,2,0,0,0,0,0,0,0,63,63,31,Yes
2,164,22,5,0,12,6,2,12,6,2,713,237,142,No
2,92,0,1,0,0,0,0,0,0,0,0,0,0,Yes
2,148,0,1,0,0,0,0,0,0,0,0,0,0,No
2,140,242,6,0,100,75,16,88,75,14,729,241,121,No
2,283,42,5,0,33,12,6,33,12,6,595,272,119,No
2,217,29,7,1,14,7,2,14,7,2,730,282,104,Yes
2,580,1229,16,5,608,307,38,464,234,29,1058,198,66,Yes
2,801,465,10,0,243,117,24,182,109,18,701,190,70,Yes
2,56,12,3,0,5,5,1,5,5,1,444,233,148,No
2,185,34,8,0,3,2,0,1,2,0,866,197,108,No
2,66,24,4,0,10,10,2,10,10,2,493,241,123,No
2,151,111,10,0,25,21,2,3,3,0,812,211,81,No
2,82,13,4,0,2,1,0,1,1,0,468,211,117,No
2,85,79,3,0,30,29,10,29,28,9,361,211,120,No
2,906,1619,21,1,841,404,40,740,325,35,1073,197,51,Yes
2,313,166,12,0,120,44,10,120,44,10,837,211,69,Yes
2,172,103,10,0,37,18,3,35,18,3,790,198,79,No
