Dataset,#Training release,%traning,%Defective in training,%Defective in testing,Classifier,Balancing,Feature Selection,Sensitivity,TP,FP,TN,FN,Precision,Recall,AUC,Kappa
BOOKKEEPER,1,54.187192118226605,50.0,29.09090909090909,NAIVEBAYES,SMOTE,BESTFIRST,LEARNING,109.0,35.0,433.0,83.0,0.7569444444444444,0.5677083333333334,0.7601940883190883,0.5321510957324105,
BOOKKEEPER,1,55.55555555555556,47.159090909090914,29.09090909090909,IBK,NOBALANCING,NOSELECTION,NOSENSITIVE,39.0,39.0,117.0,25.0,0.5,0.609375,0.7004206730769231,0.3375987956341739,
BOOKKEEPER,1,55.55555555555556,47.159090909090914,29.09090909090909,IBK,NOBALANCING,NOSELECTION,THRESHOLD,78.0,80.0,232.0,50.0,0.4936708860759494,0.609375,0.6800631009615384,0.33014802323402664,
BOOKKEEPER,1,55.55555555555556,47.159090909090914,29.09090909090909,IBK,NOBALANCING,NOSELECTION,LEARNING,117.0,121.0,347.0,75.0,0.49159663865546216,0.609375,0.6806112001424501,0.327678682799052,
BOOKKEEPER,1,91.66666666666666,50.0,29.09090909090909,IBK,OVERSAMPLING,NOSELECTION,NOSENSITIVE,21.0,57.0,99.0,43.0,0.2692307692307692,0.328125,0.48046875,-0.03500188182160347,
BOOKKEEPER,1,91.66666666666666,50.0,29.09090909090909,IBK,OVERSAMPLING,NOSELECTION,THRESHOLD,42.0,114.0,198.0,86.0,0.2692307692307692,0.328125,0.4811448317307692,-0.03500188182160347,
BOOKKEEPER,1,91.66666666666666,50.0,29.09090909090909,IBK,OVERSAMPLING,NOSELECTION,LEARNING,63.0,171.0,297.0,129.0,0.2692307692307692,0.328125,0.48096955128205127,-0.03500188182160347,
BOOKKEEPER,1,56.994818652849744,50.0,29.09090909090909,IBK,UNDERSAMPLING,NOSELECTION,NOSENSITIVE,39.0,41.0,115.0,25.0,0.4875,0.609375,0.6827423878205128,0.32276119402985054,
BOOKKEEPER,1,56.994818652849744,50.0,29.09090909090909,IBK,UNDERSAMPLING,NOSELECTION,THRESHOLD,78.0,84.0,228.0,50.0,0.48148148148148145,0.609375,0.6708358373397436,0.31543748838937397,
BOOKKEEPER,1,56.994818652849744,50.0,29.09090909090909,IBK,UNDERSAMPLING,NOSELECTION,LEARNING,117.0,127.0,341.0,75.0,0.47950819672131145,0.609375,0.6716969373219374,0.3130101409844176,
BOOKKEEPER,1,54.187192118226605,50.0,29.09090909090909,IBK,SMOTE,NOSELECTION,NOSENSITIVE,40.0,39.0,117.0,24.0,0.5063291139240507,0.625,0.7075320512820513,0.35075885328836415,
BOOKKEEPER,1,54.187192118226605,50.0,29.09090909090909,IBK,SMOTE,NOSELECTION,THRESHOLD,80.0,80.0,232.0,48.0,0.5,0.625,0.6877003205128205,0.3432835820895522,
BOOKKEEPER,1,54.187192118226605,50.0,29.09090909090909,IBK,SMOTE,NOSELECTION,LEARNING,120.0,121.0,347.0,72.0,0.4979253112033195,0.625,0.688301282051282,0.34080606098242555,
BOOKKEEPER,1,55.55555555555556,47.159090909090914,29.09090909090909,IBK,NOBALANCING,BESTFIRST,NOSENSITIVE,42.0,39.0,117.0,22.0,0.5185185185185185,0.65625,0.7188501602564102,0.3767415939067436,
BOOKKEEPER,1,55.55555555555556,47.159090909090914,29.09090909090909,IBK,NOBALANCING,BESTFIRST,THRESHOLD,84.0,80.0,232.0,44.0,0.5121951219512195,0.65625,0.7022485977564102,0.36921938586755454,
