Version,File Name,LOC,LOC_touched,NR,NFix,LOC_added,MAX_LOC_added,AVG_LOC_added,Churn,MAX_Churn,AVG_Churn,ChgSetSize,MAX_ChgSet,AVG_ChgSize,Buggy
1,hedwig-client\src\main\java\org\apache\hedwig\client\api\Client.java,43,0,1,0,0,0,0,0,0,0,0,0,0,No
1,hedwig-client\src\main\java\org\apache\hedwig\client\api\MessageHandler.java,49,8,3,0,0,0,0,0,0,0,433,271,144,No
1,hedwig-client\src\main\java\org\apache\hedwig\client\api\Publisher.java,64,4,2,0,0,0,0,0,0,0,271,271,135,No
1,hedwig-client\src\main\java\org\apache\hedwig\client\api\Subscriber.java,238,20,2,0,0,0,0,0,0,0,271,271,135,No
1,hedwig-client\src\main\java\org\apache\hedwig\client\benchmark\BenchmarkPublisher.java,134,6,3,1,0,0,0,0,0,0,433,271,144,Yes
1,hedwig-client\src\main\java\org\apache\hedwig\client\benchmark\BenchmarkSubscriber.java,138,14,4,1,1,1,0,1,1,0,453,271,113,Yes
1,hedwig-client\src\main\java\org\apache\hedwig\client\benchmark\BenchmarkUtils.java,178,5,3,1,1,1,0,1,1,0,421,271,140,Yes
1,hedwig-client\src\main\java\org\apache\hedwig\client\benchmark\BenchmarkWorker.java,47,1,2,0,0,0,0,0,0,0,271,271,135,No
1,hedwig-client\src\main\java\org\apache\hedwig\client\benchmark\HedwigBenchmark.java,129,10,5,0,1,1,0,1,1,0,472,271,94,No
1,hedwig-client\src\main\java\org\apache\hedwig\client\conf\ClientConfiguration.java,150,4,3,0,1,1,0,1,1,0,421,271,140,No
1,hedwig-client\src\main\java\org\apache\hedwig\client\data\MessageConsumeData.java,59,1,2,0,0,0,0,0,0,0,271,271,135,No
1,hedwig-client\src\main\java\org\apache\hedwig\client\data\PubSubData.java,150,3,2,0,0,0,0,0,0,0,271,271,135,Yes
1,hedwig-client\src\main\java\org\apache\hedwig\client\data\TopicSubscriber.java,75,4,2,0,0,0,0,0,0,0,271,271,135,No
1,hedwig-client\src\main\java\org\apache\hedwig\client\exceptions\InvalidSubscriberIdException.java,38,0,1,0,0,0,0,0,0,0,0,0,0,No
1,hedwig-client\src\main\java\org\apache\hedwig\client\exceptions\ServerRedirectLoopException.java,39,2,2,0,0,0,0,0,0,0,271,271,135,No
1,hedwig-client\src\main\java\org\apache\hedwig\client\exceptions\TooManyServerRedirectsException.java,40,1,2,0,0,0,0,0,0,0,271,271,135,No
1,hedwig-client\src\main\java\org\apache\hedwig\client\handlers\MessageConsumeCallback.java,97,12,4,0,1,1,0,1,1,0,453,271,113,No
1,hedwig-client\src\main\java\org\apache\hedwig\client\handlers\PublishResponseHandler.java,72,8,4,0,1,1,0,1,1,0,453,271,113,No
1,hedwig-client\src\main\java\org\apache\hedwig\client\handlers\PubSubCallback.java,89,4,3,0,1,1,0,1,1,0,421,271,140,No
1,hedwig-client\src\main\java\org\apache\hedwig\client\handlers\SubscribeReconnectCallback.java,115,10,4,0,1,1,0,1,1,0,453,271,113,No
1,hedwig-client\src\main\java\org\apache\hedwig\client\handlers\SubscribeResponseHandler.java,337,89,6,2,11,7,1,8,4,1,598,171,99,Yes
1,hedwig-client\src\main\java\org\apache\hedwig\client\handlers\UnsubscribeResponseHandler.java,85,10,4,0,1,1,0,1,1,0,453,271,113,No
1,hedwig-client\src\main\java\org\apache\hedwig\client\HedwigClient.java,73,0,1,0,0,0,0,0,0,0,0,0,0,No
1,hedwig-client\src\main\java\org\apache\hedwig\client\netty\ClientChannelPipelineFactory.java,59,5,3,0,0,0,0,0,0,0,433,271,144,No
1,hedwig-client\src\main\java\org\apache\hedwig\client\netty\ConnectCallback.java,124,8,4,0,1,1,0,1,1,0,453,271,113,No
1,hedwig-client\src\main\java\org\apache\hedwig\client\netty\HedwigClientImpl.java,370,0,1,0,0,0,0,0,0,0,0,0,0,Yes
1,hedwig-client\src\main\java\org\apache\hedwig\client\netty\HedwigPublisher.java,232,19,5,0,7,6,1,7,6,1,529,196,105,Yes
1,hedwig-client\src\main\java\org\apache\hedwig\client\netty\HedwigSubscriber.java,587,60,4,0,1,1,0,1,1,0,453,271,113,Yes
1,hedwig-client\src\main\java\org\apache\hedwig\client\netty\ResponseHandler.java,367,25,5,0,1,1,0,1,1,0,528,199,105,No
1,hedwig-client\src\main\java\org\apache\hedwig\client\netty\WriteCallback.java,100,10,4,0,1,1,0,1,1,0,453,271,113,No
1,hedwig-client\src\main\java\org\apache\hedwig\client\ssl\SslClientContextFactory.java,42,0,1,0,0,0,0,0,0,0,0,0,0,No
1,hedwig-client\src\main\java\org\apache\hedwig\client\ssl\SslContextFactory.java,67,14,2,0,1,1,0,1,1,0,271,271,135,No
1,hedwig-client\src\main\java\org\apache\hedwig\conf\AbstractConfiguration.java,55,10,3,0,9,9,3,9,9,3,444,271,148,No
1,hedwig-client\src\main\java\org\apache\hedwig\util\Callback.java,48,4,2,0,0,0,0,0,0,0,271,271,135,No
1,hedwig-client\src\main\java\org\apache\hedwig\util\CallbackUtils.java,184,20,4,0,0,0,0,-2,0,0,547,271,136,No
1,hedwig-client\src\main\java\org\apache\hedwig\util\ConcurrencyUtils.java,50,0,1,0,0,0,0,0,0,0,0,0,0,No
1,hedwig-client\src\main\java\org\apache\hedwig\util\Either.java,51,0,1,0,0,0,0,0,0,0,0,0,0,No
1,hedwig-client\src\main\java\org\apache\hedwig\util\FileUtils.java,99,3,2,0,1,1,0,1,1,0,316,316,158,No
1,hedwig-client\src\main\java\org\apache\hedwig\util\HedwigSocketAddress.java,139,0,1,0,0,0,0,0,0,0,0,0,0,Yes
1,hedwig-client\src\main\java\org\apache\hedwig\util\Option.java,44,0,1,0,0,0,0,0,0,0,0,0,0,No
1,hedwig-client\src\main\java\org\apache\hedwig\util\Pair.java,43,0,1,0,0,0,0,0,0,0,0,0,0,No
1,hedwig-client\src\main\java\org\apache\hedwig\util\PathUtils.java,57,0,1,0,0,0,0,0,0,0,0,0,0,Yes
1,hedwig-protocol\src\main\java\org\apache\hedwig\exceptions\PubSubException.java,163,1,2,0,0,0,0,0,0,0,271,271,135,Yes
